event_time,event_type,product_id,category_code,brand,price,user_id,user_session,purchase,category_code_level1
2019-11-01 00:00:00+00:00,view,40,electronics.smartphone,xiaomi,489.07,625,727,0,electronics
2019-11-01 00:00:00+00:00,view,3789,appliances.sewing_machine,janome,293.65,839,1341,0,appliances
2019-11-01 00:00:01+00:00,view,1718,NaN,creed,28.31,1578,1121,0,NaN
2019-11-01 00:00:01+00:00,view,3295,appliances.kitchen.washer,lg,712.87,521,570,0,appliances
2019-11-01 00:00:01+00:00,view,187,electronics.smartphone,xiaomi,183.27,1506,466,0,electronics
2019-11-01 00:00:01+00:00,view,910,computers.notebook,hp,360.09,649,1220,0,computers
2019-11-01 00:00:01+00:00,view,894,computers.notebook,hp,514.56,246,2130,0,computers
2019-11-01 00:00:02+00:00,view,1435,NaN,rondell,30.86,539,904,0,NaN
2019-11-01 00:00:02+00:00,view,739,NaN,michelin,72.72,873,100,0,NaN
2019-11-01 00:00:02+00:00,view,120,electronics.smartphone,apple,732.07,880,2006,0,electronics
2019-11-01 00:00:03+00:00,view,1651,furniture.living_room.sofa,NaN,437.33,560,1620,0,furniture
2019-11-01 00:00:03+00:00,view,2573,appliances.kitchen.refrigerators,NaN,155.11,533,1920,0,appliances
2019-11-01 00:00:03+00:00,view,1541,furniture.kitchen.chair,NaN,31.64,1794,206,0,furniture
2019-11-01 00:00:04+00:00,view,3188,NaN,NaN,20.54,22,734,0,NaN
2019-11-01 00:00:05+00:00,view,3652,appliances.kitchen.dishwasher,samsung,411.83,771,1624,0,appliances
2019-11-01 00:00:06+00:00,view,2166,NaN,NaN,1.09,61,2361,0,NaN
2019-11-01 00:00:07+00:00,view,2626,NaN,NaN,8.55,1320,609,0,NaN
2019-11-01 00:00:07+00:00,view,3819,NaN,xiaomi,22.68,623,2355,0,NaN
2019-11-01 00:00:07+00:00,view,154,electronics.smartphone,huawei,164.84,1798,780,0,electronics
2019-11-01 00:00:08+00:00,view,928,computers.notebook,hp,411.59,246,2130,0,computers
2019-11-01 00:00:08+00:00,view,838,NaN,yokohama,88.81,16,2377,0,NaN
2019-11-01 00:00:08+00:00,view,168,electronics.smartphone,huawei,151.99,1774,1617,0,electronics
2019-11-01 00:00:08+00:00,view,2286,NaN,NaN,7.07,1815,502,0,NaN
2019-11-01 00:00:08+00:00,view,1649,furniture.living_room.sofa,NaN,591.78,1808,513,0,furniture
2019-11-01 00:00:09+00:00,view,1681,NaN,trussardi,55.33,1661,1409,0,NaN
2019-11-01 00:00:09+00:00,view,2272,NaN,NaN,11.79,1815,502,0,NaN
2019-11-01 00:00:09+00:00,view,1726,NaN,eveline,7.59,394,473,0,NaN
2019-11-01 00:00:10+00:00,view,302,electronics.smartphone,apple,949.47,1591,141,0,electronics
2019-11-01 00:00:10+00:00,view,951,computers.notebook,acer,514.79,224,1240,0,computers
2019-11-01 00:00:11+00:00,view,946,computers.notebook,asus,360.34,649,1220,0,computers
2019-11-01 00:00:11+00:00,view,3520,NaN,NaN,38.07,1601,722,0,NaN
2019-11-01 00:00:12+00:00,view,1551,furniture.kitchen.chair,nika,47.77,1794,206,0,furniture
2019-11-01 00:00:12+00:00,view,3047,NaN,NaN,23.4,882,1976,0,NaN
2019-11-01 00:00:12+00:00,view,2086,NaN,matrix,23.14,1685,2035,0,NaN
2019-11-01 00:00:12+00:00,view,477,NaN,redmond,61.1,787,757,0,NaN
2019-11-01 00:00:12+00:00,view,3892,NaN,tomfarr,127.42,499,629,0,NaN
2019-11-01 00:00:13+00:00,view,1353,NaN,hyper,54.06,559,2362,0,NaN
2019-11-01 00:00:13+00:00,view,3734,electronics.audio.headphone,acme,69.24,1744,894,0,electronics
